"permission","defined","module","sub_module","action","allowed_scopes","definition_count","backend_uses","frontend_uses","sidebar_uses","files"
"clients.create","yes","clients","clients","create","GLOBAL|BRANCH","1","2","4","0","packages/api/routes/clients.ts|packages/api/services/serviceRequests/serviceRequestPartyDetailsContract.test.ts|packages/web/src/components/ClientModal.tsx|packages/web/src/pages/service-requests/ServiceRequestDetailPage.tsx"
"clients.delete","yes","clients","clients","delete","GLOBAL|BRANCH","1","2","1","0","packages/api/routes/clients.ts|packages/web/src/pages/Clients.tsx"
"clients.device_warranties.view","yes","clients","profile_device_warranties","view","GLOBAL|BRANCH","1","4","0","0","packages/api/routes/deviceWarranties.ts"
"clients.devices.view","yes","clients","profile_devices","view","GLOBAL|BRANCH","1","13","2","0","packages/api/routes/installedDevices.ts|packages/api/services/complaints/complaintService.ts|packages/web/src/pages/ClientProfile.tsx|packages/web/src/pages/devices/DeviceProfilePage.tsx"
"clients.edit","yes","clients","clients","edit","GLOBAL|BRANCH","1","1","0","0","packages/api/routes/clients.ts"
"clients.network.view","yes","clients","profile_network","view","GLOBAL|BRANCH","1","1","1","0","packages/api/routes/clients.ts|packages/web/src/pages/ClientProfile.tsx"
"clients.parts_stock.view","yes","clients","profile_parts_stock","view","GLOBAL|BRANCH","1","1","1","0","packages/api/routes/customerCalls.ts|packages/web/src/pages/ClientProfile.tsx"
"clients.pre_offers.view","yes","clients","profile_pre_offers","view","GLOBAL|BRANCH","1","1","1","0","packages/api/routes/customerPreOffers.ts|packages/web/src/pages/ClientProfile.tsx"
"clients.purchase_history.view","yes","clients","profile_purchase_history","view","GLOBAL|BRANCH","1","1","1","0","packages/api/routes/customerCalls.ts|packages/web/src/pages/ClientProfile.tsx"
"clients.rating.edit","yes","clients","profile_rating","edit","GLOBAL|BRANCH|ASSIGNED","1","1","1","0","packages/api/routes/clients.ts|packages/web/src/pages/ClientProfile.tsx"
"clients.rating.view","yes","clients","profile_rating","view","GLOBAL|BRANCH|ASSIGNED","1","5","1","0","packages/api/routes/clients.ts|packages/api/services/reporting/metricsCatalog.ts|packages/web/src/components/dashboard/widgetRegistry.ts|packages/web/src/pages/ClientProfile.tsx"
"clients.view","yes","clients","clients","view","GLOBAL|BRANCH","1","3","0","0","packages/api/routes/clients.ts"
"clients.view_list","yes","clients","clients","view_list","GLOBAL|BRANCH","1","31","3","0","packages/api/policies/clientPolicy.ts|packages/api/routes/clients.ts|packages/api/services/authorizationService.ts|packages/api/services/complaints/complaintCreateLookupPolicy.test.ts|packages/api/services/reporting/breakdownCatalog.ts|packages/api/services/reporting/metricsCatalog.ts|packages/web/src/components/dashboard/widgetRegistry.ts|packages/web/src/pages/Clients.tsx|packages/web/src/pages/devices/DeviceProfilePage.tsx|packages/web/src/pages/visits/VisitDetailPage.tsx"
"clients.visits.view","yes","clients","profile_visits","view","GLOBAL|BRANCH","1","4","2","0","packages/api/routes/fieldVisits.ts|packages/api/routes/openTasks.ts|packages/api/services/complaints/complaintService.ts|packages/web/src/pages/ClientProfile.tsx|packages/web/src/pages/visits/VisitDetailPage.tsx"
"complaints.add_internal_note","yes","complaints","notes","add_internal_note","GLOBAL|BRANCH|ASSIGNED","1","1","1","0","packages/api/routes/complaints.ts|packages/web/src/pages/complaints/ComplaintDetailPage.tsx"
"complaints.assign_branch","yes","complaints","assignment","assign_branch","GLOBAL","1","2","1","0","packages/api/routes/complaints.ts|packages/web/src/pages/complaints/ComplaintDetailPage.tsx"
"complaints.assign_handler","yes","complaints","assignment","assign_handler","GLOBAL|BRANCH","1","2","1","0","packages/api/routes/complaints.ts|packages/web/src/pages/complaints/ComplaintDetailPage.tsx"
"complaints.change_priority","yes","complaints","workflow","change_priority","GLOBAL","1","1","0","0","packages/api/routes/complaints.ts"
"complaints.change_type","yes","complaints","workflow","change_type","GLOBAL","1","1","0","0","packages/api/routes/complaints.ts"
